DIM_NAME,1S,1W,2S,2W,3S,3W,4S,4W
A87683,"0,0","0.0016,0.4133","0,0","0.0013,0.4893","0,0","-0.0018,0.3804","0,0","-0.0013,0.5272"
A87865,"0,0","-0.0013,0.531","0,0","0.0016,0.3947","0,0","0.0014,0.4818","0,0","-0.0003,0.8876"
A88857,"0,0","0.0021,0.304","0,0","0.0032,0.0783","0,0","0.0018,0.3654","0,0","-0.0008,0.6974"
A88891,"-0.0012,0.8492","-0.0004,0.8488","0.0015,0.7867","0.0005,0.7955","-0.002,0.7464","-0.0006,0.7495","-0.0012,0.8428","-0.0004,0.8485"
A90040,"0,0","0.0012,0.5672","0,0","-0.0006,0.749","0,0","0.0035,0.0769","0,0","0.0018,0.3755"
A91087,"0,0","-0.0005,0.7871","0,0","-0.0037,0.0425","0,0","0.0037,0.061","0,0","-0.0013,0.5052"
A91203,"-0.0068,0.2654","0.0062,0.0021","0.018,0.0013","0.0056,0.0023","-0.0034,0.5721","0.0007,0.7104","-0.0067,0.2737","-0.0009,0.6403"
A91225,"0,0","0.0057,0.0048","0,0","-0.0007,0.6993","0,0","0.0035,0.0831","0,0","0.0023,0.253"
A924425,"0,0","-0.0037,0.0694","0,0","-0.0069,0.0002","0,0","-0.0,0.9886","0,0","-0.0012,0.5649"
A92524,"0,0","0.0011,0.6011","0.0172,0.0021","0.0044,0.0164","0,0","0.0012,0.5448","0,0","0.0028,0.1678"
A92875,"0,0","-0.0012,0.5392","0,0","0.0016,0.3914","0,0","0.0014,0.483","0,0","-0.0003,0.8883"
A94360,"0,0","-0.0006,0.7823","0.0122,0.0299","-0.0034,0.0666","0,0","-0.0027,0.1761","0,0","-0.0015,0.4463"
A94586,"0,0","-0.0012,0.5416","0,0","-0.0018,0.3374","0,0","-0.0006,0.754","0,0","-0.002,0.3227"
A94597,"0,0","-0.0012,0.5637","0,0","-0.0018,0.3367","0,0","-0.0006,0.7797","0,0","-0.0019,0.3389"
A94757,"0,0","-0.0012,0.5658","0,0","0.0,0.9834","0,0","-0.0017,0.3971","0,0","-0.001,0.6201"
A95476,"0.0011,0.8526","0.0024,0.2322","0.0037,0.5112","0.0117,0.0","0.013,0.0325","-0.0014,0.47","0.0157,0.0106","-0.002,0.3249"
A95487,"0,0","0.0029,0.1507","0,0","0.0018,0.3296","0,0","0.0043,0.0316","0,0","0.0031,0.1279"
A95501,"0,0","0.0006,0.7738","0.0122,0.0299","0.0009,0.6204","0,0","0.0026,0.1994","0,0","-0.0003,0.8894"
A95534,"0,0","0.0065,0.0013","0,0","0.0029,0.117","0,0","0.0068,0.0007","0,0","0.0052,0.01"
A95545,"0,0","-0.0018,0.3673","0,0","0.0042,0.0223","0,0","-0.0013,0.5196","0,0","0.0012,0.5475"
A95636,"0.0036,0.5532","0.0058,0.004","-0.0033,0.5524","0.0206,0.0","-0.0017,0.7746","0.002,0.3184","-0.0124,0.0429","0.001,0.6109"
A95807,"0,0","0.0058,0.0038","0,0","0.0024,0.193","0,0","0.0076,0.0001","0,0","0.0047,0.0191"
A96093,"0,0","0.0038,0.0615","0,0","0.0032,0.0783","0,0","0.0016,0.4181","0,0","-0.0011,0.5797"
A96184,"0,0","0.0009,0.6626","0,0","-0.0002,0.8936","0,0","0.0021,0.2825","0,0","0.0032,0.1152"
A96333,"0,0","0.0035,0.082","0,0","-0.0055,0.0026","0,0","-0.0025,0.2015","0,0","-0.0018,0.378"
A96457,"0,0","0.001,0.612","0,0","-0.0012,0.5159","0,0","-0.0026,0.1899","0,0","-0.0024,0.2355"
A98077,"0,0","0.0023,0.248","0,0","0.0008,0.6475","0,0","-0.0016,0.4135","0,0","-0.0017,0.4074"
A98828,"-0.0029,0.6368","0.0048,0.0177","0.0025,0.6558","0.009,0.0","-0.0045,0.4609","0.0026,0.1979","-0.0023,0.7034","0.0028,0.1644"
A98862,"0,0","0.0037,0.0683","0,0","0.0033,0.0734","0,0","0.0014,0.4871","0,0","0.0012,0.5421"
A98873,"0,0","0.0035,0.0805","0,0","0.0006,0.7268","0,0","-0.0017,0.3985","0,0","-0.0002,0.9255"
A98884,"-0.0027,0.6604","0.0006,0.7723","-0.0012,0.8308","-0.0018,0.3273","-0.0069,0.26","-0.0014,0.4899","-0.0022,0.7228","-0.0007,0.7287"
A98953,"0,0","-0.0013,0.5248","0,0","0.0022,0.2404","0,0","-0.0008,0.7065","0,0","0.0015,0.451"
AMIXTURE,"0,0","-0.003,0.1337","0,0","-0.0031,0.0877","0,0","-0.0019,0.3429","0,0","-0.0011,0.5845"
AN010,"0,0","0.0026,0.1988","0.0122,0.0299","0.0003,0.8734","0,0","-0.0052,0.0093","0,0","-0.0021,0.3073"
AN020,"0,0","-0.0014,0.4921","0,0","-0.0043,0.0177","0,0","-0.0014,0.4725","0,0","-0.0016,0.4309"
AN040,"0.0192,0.0017","0.0061,0.0026","-0.0009,0.8661","-0.0019,0.2943","-0.0011,0.8508","0.0034,0.0918","-0.0046,0.4528","0.0024,0.2385"
AN050,"0,0","-0.0006,0.7809","0,0","-0.003,0.104","0,0","0.0012,0.5474","0,0","-0.0011,0.5994"
AN078,"0,0","-0.0002,0.9037","0,0","-0.0006,0.7273","0,0","-0.0001,0.9561","0,0","0.0,0.9901"
AN084,"0,0","-0.0024,0.2373","0,0","-0.0001,0.9451","0,0","-0.0014,0.4678","0,0","0.0003,0.886"
AN090,"0.0236,0.0001","0.0041,0.043","0.0002,0.9731","0.0263,0.0","-0.005,0.4091","-0.0036,0.0692","-0.0021,0.7271","-0.0026,0.1995"
AN096,"-0.0002,0.9776","0.0011,0.5833","-0.0003,0.9565","0.0016,0.3846","-0.0049,0.4203","-0.002,0.3201","-0.0016,0.797","-0.0005,0.8096"
AN100,"0.0271,0.0","0.0019,0.3542","0.0001,0.9816","-0.0009,0.6413","-0.0014,0.8134","0.0051,0.0104","-0.0048,0.4341","0.0033,0.1056"
AN106,"0,0","0.0021,0.3015","0,0","-0.0013,0.4617","0,0","-0.0013,0.5062","0,0","-0.0011,0.5998"
AN120,"0.0023,0.7131","0.0032,0.1114","-0.0046,0.4108","-0.0011,0.563","-0.0033,0.5829","0.0011,0.5839","0.0028,0.6478","-0.0024,0.2423"
AN150,"-0.0053,0.3914","0.0013,0.5053","-0.0099,0.0788","-0.0009,0.6268","-0.008,0.1893","0.0009,0.6531","0.0005,0.9408","0.0013,0.5181"
AN230,"-0.0069,0.2613","0.0057,0.0048","0.0083,0.1405","-0.0024,0.1887","-0.0042,0.4953","0.0021,0.2898","-0.0095,0.1227","0.0019,0.34"
AN420,"0.0069,0.2618","-0.0032,0.1101","0.0014,0.8073","-0.0007,0.7027","0.0089,0.1435","-0.0015,0.4605","-0.0047,0.4456","-0.0006,0.7681"
AN450,"0.009,0.142","0.0006,0.752","-0.0008,0.8812","0.001,0.591","-0.0064,0.2943","0.001,0.6157","0.0039,0.5232","0.0008,0.7092"
AN458,"0.0014,0.8146","0.0005,0.8213","-0.0016,0.7702","-0.0006,0.7262","0.0074,0.2255","0.0014,0.4939","-0.0053,0.3921","-0.0008,0.7056"
AN503,"0,0","0.0023,0.2475","0,0","0.0009,0.6417","0,0","-0.0016,0.4326","0,0","-0.0016,0.4237"
AN511,"0.0031,0.6097","-0.0017,0.394","0.0005,0.9259","-0.003,0.1059","-0.0,0.9939","0.0053,0.0085","0.0026,0.6753","0.0032,0.1105"
AN583,"0,0","0.0045,0.025","0,0","0.0016,0.3906","0,0","-0.0007,0.7263","0,0","-0.0019,0.3486"
AN590,"-0.0027,0.657","0.0038,0.0622","0.0091,0.1047","0.0005,0.7782","-0.0036,0.5538","0.0008,0.6836","0.004,0.5183","0.0006,0.7682"
AN725,"0,0","-0.0007,0.7242","0,0","-0.0055,0.0026","0,0","-0.0006,0.772","0,0","-0.0005,0.7935"
AN740,"0,0","-0.0011,0.5708","0,0","-0.0026,0.149","0,0","-0.0001,0.9701","0,0","0.002,0.3308"
AN746,"0,0","-0.0,0.9886","0,0","-0.0004,0.8268","0,0","-0.0018,0.3538","0,0","-0.0016,0.4253"
AN760,"-0.0027,0.6574","0.0,0.9818","0.0079,0.16","0.0017,0.3519","-0.0046,0.4508","-0.0014,0.4695","0.0048,0.4369","-0.0007,0.7263"
AN770,"0.028,0.0","0.0078,0.0001","0.0007,0.9047","-0.0005,0.7745","-0.0023,0.7075","0.0016,0.4143","-0.0036,0.5627","0.0014,0.4821"
AN982,"0.0007,0.9054","0.0025,0.2208","-0.0017,0.7674","0.0035,0.054","0.0036,0.5526","0.0023,0.2414","-0.004,0.514","-0.0009,0.6474"
ATRD_SECRT,"0,0","-0.0016,0.4244","0,0","-0.0007,0.6827","0,0","0.0005,0.7855","0,0","0.0038,0.061"
