DIM_NAME,1S,1W,2S,2W,3S,3W,4S,4W
A4080313,"0,0","-0.002,0.3305","0,0","-0.0013,0.4634","0,0","-0.0014,0.4691","0,0","0.002,0.3091"
A41198087,"0,0","-0.0007,0.7146","0,0","-0.0021,0.2561","0,0","0.0049,0.015","0,0","-0.0007,0.7143"
A4170303,"0,0","0.0048,0.0167","0,0","0.001,0.6032","0,0","0.0002,0.9152","0,0","0.0005,0.7908"
A422560,"0,0","0.0027,0.1726","0,0","-0.0041,0.0261","0,0","0.003,0.1313","0,0","0.0003,0.8938"
A42874033,"0,0","-0.0005,0.7891","0,0","0.0006,0.7429","0,0","-0.001,0.6333","0,0","-0.0006,0.7609"
A43121433,"0,0","0.0055,0.006","0,0","0.0017,0.362","0,0","-0.0009,0.658","0,0","0.0001,0.9589"
A463581,"0.0116,0.0587","0.0014,0.4995","-0.0053,0.3426","-0.0003,0.8752","-0.0032,0.6016","-0.0004,0.8338","-0.002,0.7487","-0.0006,0.75"
A50000,"-0.0027,0.6615","0.0032,0.1169","0.0041,0.4591","-0.0023,0.2181","-0.0032,0.5977","0.0031,0.1209","-0.0031,0.6112","0.0009,0.6588"
A50471448,"0,0","-0.0006,0.7592","0,0","0.0015,0.4279","0,0","-0.001,0.6078","0,0","-0.0006,0.7589"
A507551,"0,0","0.0014,0.4726","0,0","-0.004,0.0309","0,0","0.0039,0.0517","0,0","0.0009,0.6502"
A51036,"0,0","0.0037,0.0629","0,0","-0.0004,0.8248","0,0","0.0025,0.2161","0,0","0.0024,0.2411"
A51235042,"0,0","0.0031,0.1276","0,0","0.0003,0.8525","0,0","0.0002,0.9368","0,0","-0.0004,0.8374"
A51796,"0,0","0.0023,0.247","0,0","0.0003,0.8767","0,0","-0.0026,0.1989","0,0","-0.0025,0.218"
A52645531,"0,0","0.0008,0.6884","0,0","0.0027,0.1399","0,0","0.005,0.0124","0,0","0.0058,0.0037"
A528290,"0,0","0.0023,0.2475","0,0","0.0009,0.6417","0,0","-0.0016,0.4326","0,0","-0.0016,0.4237"
A534521,"0,0","0.0039,0.0547","0,0","0.0007,0.7115","0,0","-0.0023,0.2438","0,0","-0.0009,0.6564"
A540590,"-0.0009,0.8841","0.0017,0.3888","-0.0039,0.4815","-0.0011,0.5582","0.0042,0.4914","-0.0013,0.5288","-0.0009,0.8791","-0.0009,0.6473"
A541413,"0,0","-0.0002,0.9393","0,0","-0.0004,0.8405","0,0","0.0033,0.0943","0,0","0.0061,0.0025"
A541731,"0,0","0.0032,0.1148","0,0","0.0006,0.7638","0,0","-0.0022,0.2608","0,0","-0.0006,0.7633"
A542756,"0,0","-0.0004,0.8549","0,0","0.0024,0.1837","0,0","-0.0001,0.9556","0,0","0.0001,0.9738"
A55406536,"0,0","-0.0019,0.3386","0.0122,0.0299","-0.0077,0.0","0,0","0.0003,0.8617","0,0","-0.0006,0.77"
A554132,"0,0","-0.0016,0.4126","0,0","-0.0104,0.0","0,0","-0.0038,0.059","0,0","-0.0018,0.3703"
A56235,"-0.0009,0.8819","0.0068,0.0007","-0.004,0.4734","0.0054,0.0033","0.0041,0.5036","0.0043,0.031","-0.001,0.8769","0.0021,0.2962"
A56382,"0,0","-0.0009,0.6644","0,0","-0.0035,0.0598","0,0","-0.001,0.6231","0,0","-0.0001,0.9663"
A576261,"0,0","0.0014,0.4748","0,0","-0.0009,0.6092","0,0","0.0037,0.0611","0,0","0.0037,0.0686"
A57749,"0,0","0.0052,0.0091","0,0","0.0001,0.9534","0,0","-0.0027,0.1817","0,0","-0.0008,0.6735"
A584849,"0,0","-0.0004,0.8458","0,0","-0.0035,0.0562","0,0","0.0036,0.0714","0,0","-0.0016,0.4167"
A58899,"0,0","0.0026,0.1995","0,0","-0.0003,0.8545","0,0","-0.0026,0.1871","0,0","-0.0021,0.3034"
A60355,"0,0","-0.001,0.6052","0,0","-0.0009,0.637","0,0","-0.0008,0.6875","0,0","-0.001,0.6128"
A60515,"0,0","0.0052,0.0091","0,0","0.0005,0.773","0,0","-0.0023,0.2428","0,0","-0.0014,0.4788"
A608935,"0,0","-0.0011,0.5701","0,0","-0.0012,0.5242","0,0","-0.0006,0.7752","0,0","0.0014,0.4759"
A61825,"0,0","-0.0013,0.5297","0,0","0.0016,0.3936","0,0","0.0014,0.4796","0,0","-0.0003,0.8903"
A621647,"0,0","-0.0008,0.6928","0,0","-0.0035,0.0557","0,0","-0.0013,0.5084","0,0","-0.0008,0.6924"
A624839,"0,0","-0.0004,0.8396","0,0","0.0024,0.195","0,0","0.0013,0.5008","0,0","0.0033,0.0998"
A62533,"0,0","0.0006,0.7482","0,0","0.0035,0.0586","0,0","0.0037,0.0604","0,0","0.003,0.1415"
A62555,"0,0","-0.0013,0.5297","0,0","0.0016,0.3936","0,0","0.0014,0.4796","0,0","-0.0003,0.8903"
A62566,"0,0","-0.0013,0.5297","0,0","0.0016,0.3936","0,0","0.0014,0.4796","0,0","-0.0003,0.8903"
A630206,"0,0","0.0039,0.0544","0,0","-0.001,0.5914","0,0","-0.001,0.6061","0,0","-0.0007,0.7408"
A63252,"0,0","0.0018,0.3703","0,0","-0.0039,0.0329","0,0","-0.0012,0.5568","0,0","-0.0026,0.1878"
A63938103,"0,0","0.0028,0.1711","0,0","-0.0043,0.0186","0,0","0.0026,0.1933","0,0","0.0022,0.2666"
A64186,"-0.0021,0.7286","-0.0011,0.5895","-0.0069,0.2215","-0.0042,0.0205","-0.0036,0.5551","0.0033,0.0987","-0.0022,0.7174","-0.0013,0.5177"
A64675,"0,0","-0.0004,0.8517","0,0","-0.0012,0.4999","0,0","-0.0006,0.7679","0,0","-0.0012,0.5539"
A67561,"0.0016,0.7936","0.0062,0.0021","0.0094,0.0928","0.0068,0.0002","-0.0031,0.6151","0.0032,0.1058","-0.0006,0.9205","0.0022,0.267"
A67630,"0,0","0.0005,0.7897","0,0","-0.0014,0.4332","0,0","-0.0006,0.76","0,0","-0.0006,0.758"
A67663,"0.0022,0.72","0.0044,0.0279","0.005,0.3702","-0.0021,0.2551","0.0171,0.005","-0.0,0.9904","0.0143,0.0199","0.0003,0.8641"
A67721,"0,0","-0.001,0.6065","0,0","0.0011,0.5544","0,0","0.001,0.6323","0,0","0.0004,0.834"
A68122,"-0.0032,0.5986","-0.0005,0.7932","0.0044,0.4281","-0.0008,0.6454","0.004,0.5101","0.003,0.1335","-0.0034,0.583","0.0039,0.0507"
A68359375,"0,0","0.0011,0.5906","0,0","0.0011,0.5406","0,0","0.0057,0.0044","0,0","0.0053,0.0083"
A70304,"0,0","0.0032,0.108","0,0","0.0005,0.765","0,0","-0.0016,0.4098","0,0","-0.0002,0.9127"
A71363,"0.0012,0.8421","0.0061,0.0024","-0.0006,0.9178","0.0055,0.0025","0.0086,0.1594","0.0063,0.0016","0.0033,0.5948","0.003,0.1308"
