P2-DEUCE,P1-FH,SHORT,-2,1,FH,BH,NEUTRAL,INSIDE_B,FALSE,FALSE,FALSE,FALSE,P2-AVE,P2-FALSE,P1
P2-AD,P1-FH,LONG,-1,1,FH,NONE,NEUTRAL,BEHIND_B,FALSE,FALSE,TRUE,TRUE,P2-SLOW,P2-TRUE,P1
P2-DEUCE,P1-BH,SHORT,0,1,BH,NONE,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,FALSE,P2-FAST,P2-FALSE,P2
P2-AD,P1-FH,SHORT,-1,1,FH,BH,NEUTRAL,BEHIND_B,FALSE,FALSE,FALSE,FALSE,P2-SLOW,P2-FALSE,P1
P2-DEUCE,P1-FH,SHORT,0,1,FH,FH,NEUTRAL,BEHIND_B,FALSE,FALSE,FALSE,FALSE,P2-AVE,P2-FALSE,P1
P2-AD,P1-BH,SHORT,1,1,NONE,FH,BEHIND_B,BEHIND_B,FALSE,FALSE,FALSE,FALSE,P2-SLOW,P2-FALSE,P2
P2-DEUCE,P1-BH,SHORT,0,1,BH,FH,NEUTRAL,INSIDE_B,FALSE,FALSE,FALSE,FALSE,P2-FAST,P2-FALSE,P1
P2-AD,P1-BH,SHORT,1,1,NONE,FH,BEHIND_B,INSIDE_B,FALSE,TRUE,FALSE,FALSE,P2-FAST,P2-TRUE,P2
P2-DEUCE,P1-FH,MEDIUM,0,1,NONE,BH,INSIDE_B,NEUTRAL,FALSE,FALSE,FALSE,TRUE,P2-AVE,P2-TRUE,P1
P2-AD,P1-FH,SHORT,1,1,FH,NONE,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,FALSE,P2-SLOW,P2-FALSE,P2
P2-DEUCE,P1-BH,SHORT,0,1,NONE,NONE,NEUTRAL,NEUTRAL,FALSE,FALSE,FALSE,FALSE,P2-FAST,P2-TRUE,P2
P2-AD,P1-BH,MEDIUM,-1,1,BH,NONE,BEHIND_B,BEHIND_B,FALSE,FALSE,FALSE,TRUE,P2-SLOW,P2-TRUE,P1
